frame,duration_seconds,Left_arm_status,Right_arm_status,head_to_l_shoulder,head_to_r_shoulder,head_to_l_wrist,head_to_r_wrist,L_wrist_displacement,R_wrist_displacement,L_elbow_displacement,R_elbow_displacement,L_elbow_to_wrist,R_elbow_to_wrist,shoulder_distance,pose_stability_index,L_wrist_velocity,R_wrist_velocity,L_elbow_velocity,R_elbow_velocity,L_wrist_acceleration,R_wrist_acceleration,L_elbow_acceleration,R_elbow_acceleration,L_wrist_magnitude,R_wrist_magnitude,L_elbow_magnitude,R_elbow_magnitude,L_wrist_velocity_jerkiness,R_wrist_velocity_jerkiness,L_elbow_velocity_jerkiness,R_elbow_velocity_jerkiness,L_wrist_total_distance,R_wrist_total_distance,L_elbow_total_distance,R_elbow_total_distance
0,16.0,PARTIAL_BENT,BENT,58.02285266423395,49.89563807703139,111.81541926918526,2.411333986862894,0.0,0.0,0.0,0.0,15.62859706037937,54.03883514461151,88.17516196058902,54.28397688041334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.0,BENT,BENT,46.37704360933867,32.563659996382455,24.045149326267428,5.345466986709428,0.0,0.0,0.0,0.0,58.58339475172211,41.33239871122533,60.93602561426612,38.45473414227308,101.78108268456616,9.41770099169118,46.94735083433456,7.156709367502634,101.78108268456616,9.41770099169118,46.94735083433456,7.156709367502634,143.94018752553086,13.318640468824212,66.39358026740378,10.1211154494848,101.78108268456616,9.41770099169118,46.94735083433456,7.156709367502634,101.78108268456616,9.41770099169118,46.94735083433456,7.156709367502634
2,16.0,PARTIAL_BENT,BENT,35.05755363011087,49.5508561967409,47.48067829120071,25.844977949002008,0.0,0.0,0.0,0.0,56.70084571648025,40.00993093031404,54.64004775299888,44.18355578097824,39.92236683242741,16.28902213217539,40.59898403830446,17.413560597491255,-61.858715852138765,6.871321140484209,-6.348366796030106,10.25685122998862,73.62266023703941,17.679007218680717,41.09232611959851,20.209777085277786,61.858715852138765,6.871321140484209,6.348366796030106,10.25685122998862,141.70344951699357,25.70672312386657,87.54633487263902,24.57026996499389
3,16.0,PARTIAL_BENT,BENT,29.662048056459284,59.913494304839176,41.72465715276397,32.22940042723723,0.0,0.0,0.0,0.0,29.63412802770651,65.50966805907352,47.57694070776407,43.75004810512054,37.962577186525344,68.19095357894986,10.934516727633676,60.28193374743712,-1.9597896459020632,51.90193144677447,-29.664467310670783,42.86837314994587,38.01312986454917,85.69607130967073,31.615570165549062,73.97032481240973,1.9597896459020632,51.90193144677447,29.664467310670783,42.86837314994587,179.66602670351892,93.89767670281644,98.4808516002727,84.85220371243102
4,16.0,PARTIAL_BENT,PARTIAL_BENT,36.394604414111946,56.95912587663631,56.45109495400064,40.993554241467095,196.4698505684165,107.25693265187662,106.6831788179836,92.51598309840634,34.999770719711805,63.88343705623863,33.932719985064566,46.230615321033,16.803823864897527,13.3592559490602,8.202327217710888,7.663779385975325,-21.158753321627817,-54.83169762988966,-2.732189509922786,-52.6181543614618,27.019647270236447,56.43566943421641,8.645405213437538,53.17333620230652,21.158753321627817,54.83169762988966,2.732189509922786,52.6181543614618,196.4698505684165,107.25693265187662,106.6831788179836,92.51598309840637
5,16.0,PARTIAL_BENT,PARTIAL_BENT,40.65085262103735,47.35198177727829,73.75145279530233,59.163514716328336,233.88702998045795,123.38100217611576,121.38546312051292,106.93564881966698,57.0830898679539,62.66543192773506,21.427982701808432,51.72775805820624,37.417179412041484,16.124069524239154,14.702284302529328,14.419665721260644,20.61335554714396,2.764813575178953,6.4999570848184405,6.755886335285319,42.71950072350883,16.3593952250073,16.07503050749459,15.923842491314533,20.61335554714396,2.764813575178953,6.4999570848184405,6.755886335285319,233.88702998045795,123.38100217611576,121.38546312051292,106.935648819667
6,16.0,PARTIAL_BENT,PARTIAL_BENT,51.79198081103771,30.40145227904253,83.3275808498147,67.257141108498,147.26549996264615,126.42078320441571,78.39640341993798,111.3439993097354,72.21924738878134,54.6974112684138,21.446038357039253,54.44869315180391,15.159552666754395,12.457482019991106,3.958291133759624,11.56505985757104,-22.257626745287087,-3.666587504248048,-10.743993168769704,-2.854605863689605,26.92979735142133,12.985866247759894,11.449954493803464,11.912152792262704,22.257626745287087,3.666587504248048,10.743993168769704,2.854605863689605,249.04658264721235,135.8384841961069,125.34375425427255,118.50070867723804
7,16.0,STRAIGHT,PARTIAL_BENT,53.74679391967484,28.434985184627728,85.49807859073562,76.83046379103601,115.30887552268916,122.3722492662503,40.42742755941546,99.7643707050342,75.24437700114208,57.77777902581748,25.57358110695488,57.58657980285552,7.965742392470401,12.24048819400998,2.6300081777819484,5.833931992790069,-7.193810274283996,-0.2169938259811274,-1.328282955977675,-5.731127864780971,10.733310678704592,12.242411427011085,2.946400961570016,8.178055337240535,7.193810274283996,0.2169938259811274,1.328282955977675,5.731127864780971,257.0123250396828,148.07897239011686,127.9737624320545,124.33464067002812
8,16.0,STRAIGHT,PARTIAL_BENT,56.30790092494837,25.773972049724883,86.80440112702578,81.90618244625489,87.88896107126072,61.817360256311154,34.463231066143024,45.7563309779484,75.9693424226253,57.37240732015434,30.63885687021958,59.25329473727902,10.542662735096902,7.636064569010716,4.970320234361235,6.2738940203513165,2.5769203426265017,-4.604423624999263,2.340312056579287,0.4399620275612479,10.85302980730465,8.916849164393899,5.493736775116833,6.289301452808238,2.5769203426265017,4.604423624999263,2.340312056579287,0.4399620275612479,267.55498777477965,155.7150369591276,132.94408266641574,130.60853469037943
9,16.0,STRAIGHT,PARTIAL_BENT,57.63907764260282,27.04436863577326,92.10648159985486,83.81581030744086,80.01786809408165,52.41607854538089,30.09884197688073,39.41565429051914,78.1526159710377,61.943723152639926,30.67989117154104,61.62599549727007,8.932730887718453,3.957974238129936,3.837938128448598,1.3231026985460757,-1.6099318473784496,-3.67809033088078,-1.1323821059126375,-4.950791321805241,9.07664925319926,5.403138768513996,4.0015070050658,5.124542463768057,1.6099318473784496,3.67809033088078,1.1323821059126375,4.950791321805241,276.4877186624981,159.67301119725752,136.78202079486434,131.9316373889255
