frame_num,Head_x,L_shoulder_x,R_shoulder_x,R_elbow_x,R_wrist_x,L_elbow_x,L_wrist_x,Head_y,L_shoulder_y,R_shoulder_y,R_elbow_y,R_wrist_y,L_elbow_y,L_wrist_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,left_status,left_angle,left_direction,left_count,right_status,right_angle,right_direction,right_count,left_dist_travel,right_dist_travel,left_accel,right_accel
19,906.6541,632.0277,979.33344,694.02655,824.76807,670.14374,727.36053,654.09796,719.8204,574.0216,1029.4877,743.23865,1073.019,784.1796,660,531,1107,808,STRAIGHT,178.78711,up,1,PARTIALLY BENT,104.73345,down,1,470.52799527673375,579.1699834351055,22.9690703592261,29.99878861857055
20,905.57043,626.98126,978.0044,688.8447,829.0465,666.83746,747.1358,634.9594,701.5115,548.20197,1015.92523,719.8409,1036.6322,743.3713,663,488,1069,768,STRAIGHT,170.61032,down,1,PARTIALLY BENT,139.00417,down,1,525.202702251017,610.8223079483718,25.10707424379617,27.480510323177324
21,890.4137,618.3869,968.15796,685.01196,832.12744,664.0844,767.77423,614.97107,707.03424,543.577,1015.5879,713.6997,1016.23706,720.9678,671,476,1057,759,PARTIALLY BENT,126.27142,down,1,STRAIGHT,167.74046,down,1,555.4992163466472,618.0258491588139,26.108498706697105,25.625454461709214
22,896.2537,627.6044,963.3472,681.0678,837.2833,656.7278,781.2363,620.12244,727.23566,548.87616,1017.7551,698.2464,1017.4541,662.0477,690,480,1049,717,FULLY BENT,72.0007,up,2,STRAIGHT,160.30939,down,1,614.4318284332608,638.9107246139321,28.249227414747125,25.19741709088673
23,893.9998,626.40546,958.0488,674.54333,841.702,661.2369,797.67596,636.54535,750.8779,582.04364,1025.599,685.3837,1019.4483,640.83215,715,500,1053,703,FULLY BENT,73.02251,up,2,PARTIALLY BENT,159.93654,down,1,635.7409230307794,679.6420249964423,28.391775645567076,27.111725608120196
24,892.79083,608.0571,949.0435,657.06714,851.5481,662.43695,820.27203,677.5028,775.5522,642.28876,1037.6293,663.85895,1010.59625,616.73956,740,550,1067,711,FULLY BENT,55.772274,up,2,PARTIALLY BENT,116.061424,down,1,661.4082507440595,744.7441987163232,29.50286219093854,29.482805494474224
25,882.8308,602.8213,947.2497,647.653,828.9385,663.039,812.255,708.47076,799.25616,717.9879,1049.8793,633.8029,1010.48804,560.8356,762,511,1070,739,FULLY BENT,69.32349,up,2,PARTIALLY BENT,146.37413,down,1,717.3123471813011,824.0678466562839,32.7873618370074,34.470459561928585
26,885.8883,601.9534,945.64404,642.27496,826.2039,665.4459,822.1288,726.75,829.364,767.9067,1035.5676,615.42554,1010.7082,527.6004,787,470,1063,798,PARTIALLY BENT,90.82011,up,2,STRAIGHT,166.22632,up,1,750.5482447931707,882.3633473315563,33.93706627486594,37.04402705583997
27,884.96265,600.4724,943.4804,637.71313,825.18604,666.282,818.5694,729.54254,834.13477,771.22375,1022.192,592.96216,1014.4398,502.67123,778,426,1059,800,PARTIALLY BENT,114.712845,up,2,PARTIALLY BENT,153.55138,up,1,775.7551585824723,888.1739478380672,33.632129064779726,36.07903288671638
28,886.1087,594.3867,943.7968,633.22485,823.45264,664.8658,811.4964,734.5049,843.86316,777.1308,1013.8957,576.9332,1013.02496,481.92365,774,405,1050,813,PARTIALLY BENT,128.24048,up,2,PARTIALLY BENT,133.04778,up,1,796.5509339061203,899.5552835926322,31.941931688512664,34.90982360671459
29,882.12256,590.29083,943.21564,629.1354,825.65485,661.10144,786.1053,717.20306,815.8189,754.9325,997.92175,570.85864,1009.41583,470.1324,754,395,1037,792,PARTIALLY BENT,143.3201,up,2,PARTIALLY BENT,106.59556,up,1,808.882180088909,935.3218133574061,30.113149625821006,35.54755397665504
30,887.3443,586.31635,944.5838,627.8615,832.32623,657.27356,776.21594,707.9423,795.2932,751.155,989.8122,573.8179,1012.3228,479.22556,737,403,1046,781,PARTIALLY BENT,153.46048,up,2,PARTIALLY BENT,108.2625,up,1,818.428712991969,956.1922095235032,28.22678810363572,33.6478855566988
31,884.1347,588.49097,945.42224,637.0079,829.94055,654.452,767.0827,700.0756,786.5085,735.65533,987.42993,596.0479,1015.9756,516.7231,718,436,1054,777,PARTIALLY BENT,154.06815,up,2,PARTIALLY BENT,97.33933,up,1,856.1037358555745,974.0082697870964,29.123834886119003,32.724968060198776
32,884.44977,591.18164,942.5717,646.6991,827.24835,651.87695,754.6336,682.35187,780.9785,706.87335,991.3757,629.41266,1022.85376,562.5565,722,493,1062,750,PARTIALLY BENT,134.71683,up,2,FULLY BENT,65.71377,up,2,902.4503974881046,1003.3166825914217,30.675432155710762,32.79600136935018
33,892.7644,597.77515,941.6702,658.4773,827.53235,652.1954,737.20825,658.86096,781.62415,683.5267,993.0993,668.6429,1024.9019,627.2322,715,539,1073,723,PARTIALLY BENT,116.342415,up,2,FULLY BENT,33.26552,up,2,967.1584772489525,1026.6722877083162,34.21704999564853,31.988603890191293
34,891.34283,603.90674,947.26886,658.72546,821.68854,642.7145,717.276,646.8708,777.71234,653.3301,997.80945,686.456,1041.122,683.65295,706,543,1082,713,PARTIALLY BENT,147.54456,up,2,FULLY BENT,8.380049,up,2,1025.8644855909877,1057.1212042027405,37.022432687616934,31.863414717842325
35,891.5125,604.74493,954.3441,659.94104,817.1514,648.3638,721.0653,657.1867,757.8142,620.1446,997.0564,705.92914,1032.7227,731.3359,702,549,1079,760,STRAIGHT,168.34898,up,2,FULLY BENT,39.9813,down,2,1074.2815196913198,1095.8150298137937,36.605254496020194,32.332848124361455
36,891.94855,605.45685,956.7559,666.98126,818.23505,657.72546,716.7834,651.08154,761.5417,593.97174,994.0915,716.91284,1026.1293,749.2843,698,561,1057,766,STRAIGHT,172.08353,up,2,FULLY BENT,55.660225,down,2,1093.4026776135574,1122.2519784152678,35.860230751127354,33.615075283763595
37,894.19507,606.96545,961.8922,666.1127,817.9563,655.5236,722.25476,639.27704,764.75256,567.1296,997.63403,710.4811,1019.49316,749.5624,703,535,1051,767,STRAIGHT,170.36554,down,2,FULLY BENT,69.13502,down,2,1100.044609639194,1149.2855029136485,32.37418541372889,34.0249852199811
38,888.36646,614.9079,954.07434,673.8121,819.49457,653.2886,749.9336,619.89825,774.75824,534.8185,987.52704,727.3396,1030.1155,764.41974,729,472,1071,776,STRAIGHT,163.04868,up,2,PARTIALLY BENT,99.37547,down,2,1118.3086380958734,1183.1103531675813,32.171181004339594,33.564555211409264
39,887.47015,612.0613,952.8501,675.90204,824.961,657.9303,768.35254,600.63666,780.68665,497.10052,982.39734,729.21063,1009.9188,766.65436,745,428,1037,785,STRAIGHT,172.68192,up,2,PARTIALLY BENT,128.5511,down,2,1138.6285398411505,1221.291372544398,31.81468593980607,31.769811588538314
40,888.47925,611.1428,954.08685,676.93097,829.46674,655.1628,790.2712,589.26434,787.7681,489.01968,969.6511,732.3205,989.252,774.2386,751,419,1019,795,STRAIGHT,170.63438,up,2,PARTIALLY BENT,150.68668,down,2,1160.6430241596702,1232.0360167304457,29.555378465224614,27.197878004944112
41,888.04047,610.34906,950.721,658.3257,834.3845,655.40643,807.3499,591.4629,790.6813,497.3836,983.53125,695.10333,1011.5083,735.2436,755,423,1027,756,STRAIGHT,173.13889,down,2,STRAIGHT,167.12906,down,2,1205.5423775887537,1240.8927440322964,30.3329421863722,23.90195978004933
42,884.50183,614.0555,943.29425,658.6549,828.73724,658.17566,805.9827,608.6318,792.53357,520.71594,983.1797,680.64325,988.98145,686.0085,758,449,1025,709,STRAIGHT,166.10594,down,2,STRAIGHT,164.02917,down,2,1259.686213989156,1264.298489471471,32.262070360445584,25.07496944222691
43,873.1623,606.9421,931.71094,654.7996,829.0807,657.3927,801.1972,645.9897,787.6932,587.98627,980.3445,675.4137,986.5106,668.44977,752,496,1054,781,PARTIALLY BENT,108.552536,up,2,PARTIALLY BENT,125.34804,down,2,1277.4179222656949,1331.7427330451574,32.05779922397165,28.812496630168326
44,874.38525,598.6571,922.96075,653.2504,829.6628,653.5913,790.26843,689.222,788.1555,654.81573,999.81866,675.28687,974.02625,641.7497,749,528,1048,787,FULLY BENT,36.438736,up,3,FULLY BENT,51.38603,down,3,1306.892547458881,1398.573800090107,33.20069115799815,30.883465782180046
45,872.17316,591.0691,928.3014,638.3865,811.1644,651.25616,796.3299,707.7797,794.85754,731.9138,1027.8303,655.7322,975.06104,607.4391,759,529,1056,756,FULLY BENT,32.57783,up,3,STRAIGHT,168.78555,up,3,1341.2187561861701,1475.9626341438457,34.8526695462801,34.65136164135616
46,872.3548,589.4434,929.44415,640.25977,804.45465,658.5062,784.841,724.81256,798.57385,762.27356,1038.3329,636.70044,968.2381,584.1674,755,531,1062,791,FULLY BENT,38.72217,up,3,PARTIALLY BENT,143.38913,up,3,1365.4700030981826,1506.5489846283197,33.95775114950721,35.5027143227482
47,869.33075,587.5631,928.7932,636.1966,802.5953,657.34595,785.8136,723.2533,803.02704,764.4293,1030.4668,618.0068,964.47656,551.83795,754,512,1052,791,FULLY BENT,55.220562,up,3,PARTIALLY BENT,143.02747,up,3,1398.0175627135948,1511.4965268920844,33.03781101503269,33.878656286710836
48,871.65784,585.9053,930.00885,631.2761,803.9019,651.8809,773.7061,711.5426,789.0584,747.50684,1016.8629,604.55,959.70685,523.18665,742,477,1045,792,FULLY BENT,72.01657,up,3,PARTIALLY BENT,130.03874,up,3,1427.0631737291699,1533.4394773935983,30.660313098681165,33.78447931235214
49,868.73846,586.6384,926.2015,627.0712,808.51776,651.1051,761.62573,703.8941,762.839,748.9375,1000.90765,592.5297,967.2611,507.94968,726,455,1025,778,PARTIALLY BENT,93.12113,up,3,PARTIALLY BENT,136.84267,up,3,1444.0699980097977,1559.6979018991556,27.880367494587336,33.50511317976101
50,871.2645,585.88007,927.42096,635.7314,812.3374,649.66284,757.3127,695.4478,764.92584,738.19727,995.2665,600.4243,982.7372,513.7101,717,452,1021,775,PARTIALLY BENT,109.2709,up,3,PARTIALLY BENT,119.665344,up,3,1460.5833609683837,1570.6389982787541,25.75345608513758,31.654931230997377
51,867.3756,583.7383,927.8079,644.72314,809.09607,652.2061,752.5587,692.9227,765.3539,741.11957,985.54724,613.1999,993.041,529.3584,709,463,1024,776,PARTIALLY BENT,123.74022,up,3,PARTIALLY BENT,110.89259,up,3,1479.3193891077701,1573.5924823695455,25.727780766280834,30.089366930285184
52,867.5204,593.5448,923.9266,648.7246,805.1686,650.8136,743.2618,677.74005,759.6438,726.7941,985.09247,631.0708,1003.50885,559.2997,713,502,1040,768,PARTIALLY BENT,120.490814,up,3,PARTIALLY BENT,95.03952,up,3,1511.0377758396917,1589.014001862814,27.399544413366492,29.3152332632777
53,860.9056,604.7846,916.24115,653.7298,800.80963,649.4131,741.49207,670.15686,781.18726,714.2291,984.2439,659.86084,1010.73785,607.8372,721,539,1059,771,PARTIALLY BENT,111.83649,up,3,FULLY BENT,67.26623,up,4,1560.110690555659,1613.9539262253668,29.453470163985692,28.72290487051905
54,862.8003,608.78174,918.4756,654.1617,804.3184,645.5914,711.02704,660.47906,763.42566,681.52277,985.771,676.6952,1026.759,656.7583,689,543,1076,790,PARTIALLY BENT,135.54851,up,3,FULLY BENT,30.94775,up,4,1611.588359522574,1651.1719365445435,31.53065464542821,28.658704266676367
55,866.63,609.94385,925.8197,658.0223,788.99744,648.2305,687.60205,661.68207,739.39105,643.22626,981.1273,692.4579,1034.072,702.9355,672,550,1082,728,PARTIALLY BENT,159.28682,up,3,FULLY BENT,12.0573635,down,4,1658.341030222089,1696.385705640728,33.17986707082792,30.956645927352163
56,870.74603,609.1202,928.9507,659.088,787.3984,656.07465,685.5408,667.9645,737.7096,621.3824,983.0047,700.2349,1031.8862,726.0892,669,555,1072,741,STRAIGHT,170.59601,up,3,FULLY BENT,35.10401,down,4,1681.5976611472597,1718.2941982044388,31.73701890390039,31.82676361147617
57,862.6963,613.0916,925.8697,661.83563,791.3388,657.69086,698.8839,656.85,738.6586,596.5764,981.0055,703.8632,1009.17084,737.0578,682,564,1041,760,STRAIGHT,167.63101,down,3,FULLY BENT,57.10014,down,4,1706.822646396438,1743.1183150770516,29.809095493818788,31.92132170703873
58,858.5265,615.1593,926.86194,665.1427,794.08325,661.018,711.60864,656.3809,742.4421,581.29834,978.49695,710.53424,1015.43866,740.1819,694,537,1050,758,STRAIGHT,177.43051,up,3,FULLY BENT,70.89202,down,4,1713.8258956241718,1758.8578857422692,29.093864890565115,28.474343513140816
59,858.17474,623.287,926.01874,671.19543,796.7468,673.9885,733.03894,655.8607,737.41534,581.73267,980.9112,706.69965,1021.908,740.27765,701,515,1060,757,STRAIGHT,173.57587,down,3,PARTIALLY BENT,102.50474,down,4,1720.2959647221599,1763.9033478501979,27.560227817551905,24.355303184006075
60,854.8041,622.43353,921.24286,671.6488,801.57495,674.1231,755.3846,664.66766,743.632,608.42633,965.57556,704.0919,1009.775,728.2554,700,533,1055,749,STRAIGHT,172.46799,up,3,PARTIALLY BENT,113.37202,down,4,1737.3765017931325,1791.311353483167,26.41051637379748,21.02324795595477
61,852.24927,628.93945,909.71155,669.67426,812.69775,668.7311,772.18744,688.92725,768.7925,658.06287,948.6929,696.7877,978.3747,701.27106,726,571,1017,774,PARTIALLY BENT,153.76883,up,3,FULLY BENT,69.7788,down,5,1778.7786019633422,1846.960562731359,27.55390659101064,22.694105206869306
62,850.0719,630.57336,897.58044,653.7943,802.7126,674.7083,781.1455,709.77655,807.15753,739.6575,942.30524,658.24036,962.4449,654.43665,732,570,1011,774,STRAIGHT,163.62764,up,3,PARTIALLY BENT,107.368034,up,5,1828.2479959847012,1937.1246167725913,28.68202888474042,28.375205992033816
63,851.96106,619.1221,907.74335,661.5923,792.8778,672.8949,751.19995,718.20557,791.29706,755.0036,990.9916,679.13654,971.31506,630.42084,720,565,1022,775,FULLY BENT,56.105244,up,4,FULLY BENT,89.93471,up,6,1853.8495408728595,1959.194015070319,28.452424476245973,28.38363584511473
64,855.69604,618.28485,905.8946,660.60583,790.0027,670.7308,747.3036,721.94885,799.2988,744.67316,981.81085,668.5261,970.27606,610.0041,710,550,1016,790,FULLY BENT,72.893745,up,4,FULLY BENT,73.7905,up,6,1874.2927090435105,1972.261011803439,28.681514068914186,27.504207326952248
65,846.5171,617.5684,897.98694,653.9559,793.23615,673.7386,761.59357,720.90015,802.3536,756.8923,963.8848,646.01,969.65686,592.4305,699,522,1015,791,PARTIALLY BENT,103.0241,up,4,PARTIALLY BENT,97.586075,up,6,1891.877222765464,1984.856181099222,28.75292411980536,27.61447885469788
66,845.6327,612.99097,902.6102,646.70856,785.81195,663.5856,751.92566,711.8763,792.71173,728.2265,965.41974,640.1966,970.88306,582.71466,714,517,1022,770,PARTIALLY BENT,101.34847,up,4,FULLY BENT,76.78684,up,7,1901.6701141507547,2015.1000506161552,28.15671500286563,29.43383788310733
67,838.43744,610.4013,892.52875,645.5957,787.9765,647.3495,760.5648,677.97394,774.46515,704.3517,955.3239,634.96716,975.4023,581.3418,705,517,1017,776,PARTIALLY BENT,120.13354,up,4,PARTIALLY BENT,110.38058,up,7,1906.3932655605224,2045.1490878315226,26.357032648055373,30.409005731247248
68,826.56104,596.3932,893.9219,640.0296,786.1266,648.7674,738.05914,691.67413,759.88074,726.9876,957.85785,637.63477,977.79974,586.2805,694,528,1025,774,PARTIALLY BENT,113.3673,up,4,PARTIALLY BENT,100.039696,up,7,1911.8831454435722,2072.0765863451675,23.451496992527538,30.541510674653395
